"","cover","season4","mean per"
"1","aHab","Fall",0.0881966750453215
"2","FrgH","Fall",0.635080893212262
"3","PrH","Fall",0.17637935357534
"4","WtH","Fall",0.117125662550349
"5","aHab","Spring",0.0846322020362369
"6","FrgH","Spring",0.560037785269141
"7","PrH","Spring",0.184760206437021
"8","WtH","Spring",0.170569806257601
"9","aHab","Summer",0.0990573533993478
"10","FrgH","Summer",0.616891573193175
"11","PrH","Summer",0.161843614454501
"12","WtH","Summer",0.135418094360108
"13","aHab","Winter",0.0454401218783169
"14","FrgH","Winter",0.547863539018677
"15","PrH","Winter",0.159824187923366
"16","WtH","Winter",0.252799123598551
