"","NLCDLIDcover","season4","mean per","sd per","sample size","LOCI","HICI"
"1",100,"Fall",0.0372156692460615,0.0437821287775904,18,0.0169893576791625,0.0574419808129605
"2",101,"Fall",0.0181991599488208,0.0218196952110782,15,0.00715687063570195,0.0292414492619396
"3",102,"Fall",0.053529722510358,0.0533179701713217,24,0.0321980917403816,0.0748613532803344
"4",103,"Fall",0.0123689343835463,0.0101705815997566,14,0.00704125793567397,0.0176966108314185
"5",105,"Fall",0.303673265178697,0.261948869157522,26,0.202983361525634,0.404363168831759
"6",106,"Fall",0.180319947530788,0.189218185235994,23,0.102988698244873,0.257651196816704
"7",107,"Fall",0.279642645212721,0.233049248411553,28,0.193319995578873,0.365965294846569
"8",108,"Fall",0.147616003843566,0.194842679134184,17,0.0549936735471425,0.240238334139989
"9",109,"Fall",0.133448100422858,0.134714061617409,23,0.0783920461209881,0.188504154724727
"10",100,"Spring",0.039581880846782,0.0473428869291997,27,0.0217240408850942,0.0574397208084699
"11",101,"Spring",0.0100569132864617,0.0109073739832763,25,0.00578122268501738,0.014332603887906
"12",102,"Spring",0.10238665040491,0.104026688032972,32,0.0663432419039888,0.138430058905831
"13",103,"Spring",0.00951983801834242,0.00741234269460467,23,0.00649050064258119,0.0125491753941037
"14",105,"Spring",0.269550604817529,0.245135795422343,29,0.180330278934233,0.358770930700824
"15",106,"Spring",0.138360309342284,0.138586833340505,29,0.0879198487295423,0.188800769955026
"16",107,"Spring",0.286943505602137,0.213131081067929,30,0.210675527741977,0.363211483462296
"17",108,"Spring",0.14828807913876,0.184851841735967,26,0.0772333187408707,0.219342839536648
"18",109,"Spring",0.125526631009353,0.107882956661488,31,0.0875489830204864,0.16350427899822
"19",100,"Summer",0.0331622808197929,0.040484810231793,24,0.0169649833442472,0.0493595782953387
"20",101,"Summer",0.019569105847078,0.0243144499611604,24,0.00984129986946933,0.0292969118246866
"21",102,"Summer",0.0579749813101989,0.043226853207017,28,0.0419635308138063,0.0739864318065916
"22",103,"Summer",0.0134507547149605,0.0145652669558257,23,0.00749810122939794,0.0194034082005231
"23",105,"Summer",0.280860736934315,0.265879369491311,28,0.182377640275982,0.379343833592648
"24",106,"Summer",0.176854837036186,0.183755076434149,26,0.106221659647704,0.247488014424668
"25",107,"Summer",0.320551400195333,0.235721622739004,27,0.231636691198443,0.409466109192224
"26",108,"Summer",0.125535982581278,0.190828794568546,21,0.0439171589651079,0.207154806197448
"27",109,"Summer",0.112900372158627,0.104116957024975,27,0.0736272294237851,0.152173514893469
"28",100,"Winter",0.037240850286588,0.0390567596054054,15,0.0174754028308026,0.0570062977423734
"29",101,"Winter",0.0191956715069846,0.0297238639466238,10,0.000772629764255229,0.037618713249714
"30",102,"Winter",0.151757818066398,0.13570830038725,23,0.0962954300600576,0.207220206072739
"31",103,"Winter",0.012331339487029,0.00831938891766954,12,0.00762420208454153,0.0170384768895165
"32",105,"Winter",0.289169929469966,0.210007756289005,17,0.189338579099263,0.389001279840668
"33",106,"Winter",0.185376271728968,0.161150845850964,19,0.112914014182037,0.257838529275899
"34",107,"Winter",0.232412187619899,0.223944030627937,23,0.14088889329709,0.323935481942709
"35",108,"Winter",0.232602196597887,0.212535623394807,14,0.121269228665998,0.343935164529777
"36",109,"Winter",0.0872819783217731,0.0928859636905298,18,0.0443708523840607,0.130193104259486
