,ID,FrgH,PrH,WtH,aHab,Devel,EmWet,WoodyWet,OpenWater,ConFrst,DecFrst,MixFrst,RegenFrst,Grass,DevelC,EmWetC,WoodyWetC,OpenWaterC,ConFrstC,DecFrstC,MixFrstC,RegenFrstC,GrassC,FrgHC,PrHC,WtHC,aHabC,Season
0,X11_2013_Summer.X11_BB90,0.351699761,0.102879717,0.476764736,0.068655785,0.010607667,0.032997588,0.354912478,0.02095547,0.124241196,0.140482724,0.27847075,0.003399027,0.0339331,2041,6349,68288,4032,23905,27030,53580,654,6529,16915,4948,22930,3302,Summer
1,X13_2013_Summer.X13_BB90,0.256854573,0.413029173,0.298749726,0.031366528,0.005938961,0.025075612,0.227880121,0.044652186,0.686554853,0.003519384,0.004509211,0.001869673,0,108,456,4144,812,12485,64,82,34,0,1171,1883,1362,143,Summer
2,X15_2013_Summer.X15_BB90,0.362173569,0.064626748,0.542600897,0.030598787,0.039115759,0.439671719,0.001985572,0.062413131,0.12409822,0.329538686,0.003176914,0,0,591,6643,30,943,1875,4979,48,0,0,1373,245,2057,116,Summer
3,X151_2014_Summer.X151_BB90,0.456957729,0.420240666,0.078062326,0.044739278,0.017034068,0.044319408,0.049483583,0.011176199,0.468244181,0.143517805,0.133728996,0.034299368,0.098196393,221,575,642,145,6075,1862,1735,445,1274,1481,1362,253,145,Summer
4,X156_2014_Summer.X156_BB90,0.448836516,0.16900358,0.350536993,0.031622912,0.002349694,0.209421155,0.000745935,0.125503506,0.15593764,0.352752499,0.089735939,0.063553633,0,63,5615,20,3365,4181,9458,2406,1704,0,3009,1133,2350,212,Summer
5,X157_2016_Summer.X157_BB90,0.634390901,0.184824903,0.168886561,0.011897635,0.006415292,0.01496278,0.166891108,0.011914114,0.220607489,0.325590095,0.23482213,0.018796992,0,343,800,8923,637,11795,17408,12555,1005,0,8478,2470,2257,159,Summer
6,X158_2016_Summer.X158_BB90,0.181430294,0.166867638,0.513774232,0.137927836,0.005840769,0.048649901,0.37814347,0.000764863,0.073310928,0.075118785,0.095654189,0.187785375,0.134731719,252,2099,16315,33,3163,3241,4127,8102,5813,1956,1799,5539,1487,Summer
7,X161_2015_Summer.X161_BB90,0.168593304,0.288845519,0.482360006,0.060201171,0.000225225,0.041516517,0.363288288,0.012162162,0.112424925,0.04298048,0.085172673,0.297822823,0.044406907,6,1106,9678,324,2995,1145,2269,7934,1183,1123,1924,3213,401,Summer
8,X178_2014_Summer.X178_BB90,0.420261518,0.277770989,0.240254186,0.061713308,0.015322975,0.023489112,0.175311965,0.013273795,0.53076829,0.080927331,0.082701248,0.015873501,0.062331784,501,768,5732,434,17354,2646,2704,519,2038,3439,2273,1966,505,Summer
9,X178_2015_Summer.X178_BB90,0.484333554,0.172248011,0.223474801,0.119943634,0.019802391,0.010835271,0.200867652,0.089235304,0.150988044,0.206056958,0.288400864,0.01899286,0.014820658,954,522,9677,4299,7274,9927,13894,915,714,5843,2078,2696,1447,Summer
10,X181_2015_Summer.X181_BB90,0.028858218,0.182559598,0.686323714,0.102258469,0.025165146,0.658854986,0.063070148,0.012739855,0.072821642,0.103963511,0.063384712,0,0,160,4189,401,81,463,661,403,0,0,46,291,1094,163,Summer
11,X181_2016_Summer.X181_BB90,0.133532934,0.46746507,0.375648703,0.023353293,0.003588696,0.001644819,0.352539501,0.000697802,0.243632557,0.128744455,0.170363355,0.067337886,0.03145093,72,33,7073,14,4888,2583,3418,1351,631,669,2342,1882,117,Summer
12,X19_2013_Summer.X19_BB90,0.431917428,0.081513828,0.389837237,0.096731507,0.001389762,0.035240396,0.264882036,0.008140035,0.032924126,0.06905794,0.036961054,0.416068297,0.135336356,42,1065,8005,246,995,2087,1117,12574,4090,3264,616,2946,731,Summer
13,X192_2015_Summer.X192_BB90,0.327403246,0.245006242,0.417602996,0.009987516,0.005929625,0.000858235,0.338768823,0.123663884,0.157759226,0.319185457,0.047905126,0.005929625,0,76,11,4342,1585,2022,4091,614,76,0,1049,785,1338,32,Summer
14,X200_2015_Summer.X200_BB90,0.313540511,0.224935257,0.397336293,0.064187939,0.029685802,0.016253208,0.301851895,0.009363512,0.154833191,0.084572168,0.201858831,0.128545997,0.072989157,1284,703,13056,405,6697,3658,8731,5560,3157,3390,2432,4296,694,Summer
15,X202_2015_Summer.X202_BB90,0.433023187,0.048737262,0.509821297,0.008418254,0.050493111,0.435341484,0.006685628,0.000960366,0.270712518,0.233184353,0.002622539,0,0,1367,11786,181,26,7329,6313,71,0,0,2932,330,3452,57,Summer
16,X205_2015_Summer.X205_BB90,0.643993593,0.265883609,0.085744794,0.004378003,0.014073599,0.020883405,0.062943973,0.006088768,0.077952251,0.537013299,0.269588207,0.011242856,0.000213641,527,782,2357,228,2919,20109,10095,421,8,6031,2490,803,41,Summer
17,X31_2013_Summer.X31_BB90,0.57196208,0.260844585,0.089916691,0.077276645,0.001724262,0.005532007,0.131115741,0.07791508,0.293232272,0.248293699,0.242186939,0,0,48,154,3650,2169,8163,6912,6742,0,0,3982,1816,626,538,Summer
18,X58_2013_Summer.X58_BB90,0.710943857,0.091334418,0.17371847,0.024003255,0.012221826,0.003870245,0.252788104,0.017212405,0.055049142,0.332790141,0.312776901,0.013291236,0,240,76,4964,338,1081,6535,6142,261,0,3495,449,854,118,Summer
