"","ID","area_m2","area_km2"
"1","X11_2013_Summer.X11_BB90",43297017.9066097,432.970179066097
"2","X13_2013_Summer.X13_BB90",4092262.24959867,40.9226224959867
"3","X15_2013_Summer.X15_BB90",3398171.02633732,33.9817102633732
"4","X151_2014_Summer.X151_BB90",2916713.62829013,29.1671362829013
"5","X156_2014_Summer.X156_BB90",6045868.46180212,60.4586846180212
"6","X157_2016_Summer.X157_BB90",12029864.6780415,120.298646780415
"7","X158_2016_Summer.X158_BB90",9864402.8785145,98.644028785145
"8","X161_2015_Summer.X161_BB90",6085359.67677171,60.8535967677171
"9","X178_2014_Summer.X178_BB90",7354626.00786613,73.5462600786613
"10","X178_2015_Summer.X178_BB90",10870994.4750316,108.709944750316
"11","X181_2015_Summer.X181_BB90",1433752.98175505,14.3375298175505
"12","X181_2016_Summer.X181_BB90",4554934.32989854,45.5493432989854
"13","X19_2013_Summer.X19_BB90",6800442.34851089,68.0044234851089
"14","X192_2015_Summer.X192_BB90",2880305.82456811,28.8030582456811
"15","X200_2015_Summer.X200_BB90",9776415.14024781,97.764151402478
"16","X202_2015_Summer.X202_BB90",6092690.06640632,60.9269006640632
"17","X205_2015_Summer.X205_BB90",8425699.41861811,84.2569941861811
"18","X31_2013_Summer.X31_BB90",6267467.35774651,62.6746735774651
"19","X58_2013_Summer.X58_BB90",4446143.13997866,44.4614313997866
"20","X13_2013_Fall.X13_BB90",985663.235012668,9.85663235012668
"21","X15_2013_Fall.X15_BB90",1605902.3064381,16.059023064381
"22","X156_2014_Fall.X156_BB90",18484698.4349594,184.846984349594
"23","X157_2016_Fall.X157_BB90",2518700.30175397,25.1870030175397
"24","X158_2016_Fall.X158_BB90",7367536.48102549,73.6753648102549
"25","X178_2014_Fall.X178_BB90",24028357.0460816,240.283570460816
"26","X181_2015_Fall.X181_BB90",9197127.4369895,91.971274369895
"27","X19_2013_Fall.X19_BB90",4109370.67135354,41.0937067135354
"28","X192_2015_Fall.X192_BB90",3871279.67964899,38.7127967964899
"29","X200_2015_Fall.X200_BB90",7626994.58257103,76.2699458257103
"30","X202_2015_Fall.X202_BB90",13616805.4503859,136.168054503859
"31","X205_2015_Fall.X205_BB90",27777896.163136,277.77896163136
"32","X31_2013_Fall.X31_BB90",1871736.48484473,18.7173648484473
"33","X58_2013_Fall.X58_BB90",893110.180252014,8.93110180252014
"34","X11_2013_Spring.X11_BB90",16014544.5014852,160.145445014852
"35","X13_2013_Spring.X13_BB90",437167.007360865,4.37167007360865
"36","X13_2014_Spring.X13_BB90",817190.435771808,8.17190435771808
"37","X15_2013_Spring.X15_BB90",1321647.33693241,13.2164733693241
"38","X15_2014_Spring.X15_BB90",93293.0310670288,0.932930310670288
"39","X151_2014_Spring.X151_BB90",1197116.35801883,11.9711635801883
"40","X156_2014_Spring.X156_BB90",4616062.68312366,46.1606268312366
"41","X156_2015_Spring.X156_BB90",952339.903768899,9.52339903768899
"42","X157_2016_Spring.X157_BB90",3589438.90972655,35.8943890972655
"43","X157_2017_Spring.X157_BB90",14005.6007034621,0.140056007034621
"44","X158_2016_Spring.X158_BB90",12928786.2744041,129.287862744041
"45","X161_2015_Spring.X161_BB90",3667300.32235667,36.6730032235667
"46","X178_2015_Spring.X178_BB90",12106214.0349378,121.062140349378
"47","X181_2016_Spring.X181_BB90",3337336.42521988,33.3733642521988
"48","X19_2013_Spring.X19_BB90",4034131.53918352,40.3413153918352
"49","X192_2015_Spring.X192_BB90",1618831.6438174,16.188316438174
"50","X200_2015_Spring.X200_BB90",119196.45848504,1.1919645848504
"51","X200_2016_Spring.X200_BB90",3918811.9041601,39.188119041601
"52","X202_2016_Spring.X202_BB90",6425472.28425067,64.2547228425067
"53","X205_2015_Spring.X205_BB90",32571908.909227,325.71908909227
"54","X31_2013_Spring.X31_BB90",967269.408335927,9.67269408335927
"55","X58_2013_Spring.X58_BB90",1772310.35815392,17.7231035815392
"56","X90_2013_Spring.X90_BB90",561519.227903051,5.61519227903051
