"","ID","CTIforSTAN50_drypercent","CTIforSTAN50_wetpercent","CTIforSTAN50_dryraw","CTIforSTAN50_wetraw","season","CTISTANWetmeant"
"0","X13_2013_Fall.X13_BB90",0.959872321021432,0.0401276789785682,4210,176,"fall",0.236775796236041
"01","X15_2013_Fall.X15_BB90",0.995797730774618,0.00420226922538171,7109,30,"fall",0.208844250883992
"02","X156_2014_Fall.X156_BB90",0.949326093044209,0.0506739069557912,77971,4162,"fall",0.268805283164732
"03","X157_2016_Fall.X157_BB90",0.984826847554445,0.0151731524455552,11034,170,"fall",0.224825310332092
"04","X158_2016_Fall.X158_BB90",0.925582560761714,0.0744174392382861,29552,2376,"fall",0.336327664558362
"05","X178_2014_Fall.X178_BB90",0.935097709937987,0.0649022900620127,99673,6918,"fall",0.231971610145533
"06","X181_2015_Fall.X181_BB90",0.894731690606112,0.105268309393887,36565,4302,"fall",0.344043461258991
"07","X19_2013_Fall.X19_BB90",0.982796405873329,0.0172035941266711,17938,314,"fall",0.228910781927823
"08","X192_2015_Fall.X192_BB90",0.91271270108601,0.0872872989139904,15716,1503,"fall",0.292696316710527
"09","X200_2015_Fall.X200_BB90",0.968877219894979,0.0311227801050209,32843,1055,"fall",0.264289737385896
"010","X202_2015_Fall.X202_BB90",0.956165878501273,0.0438341214987268,57827,2651,"fall",0.257303302073711
"011","X205_2015_Fall.X205_BB90",0.973082312902472,0.0269176870975276,116657,3227,"fall",0.233325978709259
"012","X31_2013_Fall.X31_BB90",0.9244223991646,0.0755776008354001,7082,579,"fall",0.173144086398066
"013","X58_2013_Fall.X58_BB90",0.974732006125574,0.0252679938744257,3819,99,"fall",0.297274642814446
