"","ID","mean.nomig","median.nomig","max.nomig","sd.nomig","n.nomig","season"
"0","X11_2013_Spring.X11_BB90",0.235894149387647,0.225716901606733,0.92558719306997,0.275158216619023,17540,"spring"
"01","X13_2013_Spring.X13_BB90",0.18547963552959,0.168247637893288,0.896656938065463,0.20777118136246,484,"spring"
"02","X13_2014_Spring.X13_BB90",0.413196191513248,0.497754408052257,0.886195695518152,0.231720086173115,892,"spring"
"03","X15_2013_Spring.X15_BB90",0.245396649741117,0.227898312573072,0.916430797982028,0.29525448107275,1470,"spring"
"04","X15_2014_Spring.X15_BB90",0.576614032278342,0.641911133971068,0.855973609816443,0.20723607836408,108,"spring"
"05","X151_2014_Spring.X151_BB90",0.226315767090685,0.135443886306633,0.919552243385537,0.280884136171171,1332,"spring"
"06","X156_2014_Spring.X156_BB90",0.399652633014564,0.412938131202171,0.925611904812743,0.298941862926618,5099,"spring"
"07","X156_2015_Spring.X156_BB90",0.298330873325735,0.30858631955081,0.920615735835254,0.273677976183611,1058,"spring"
"08","X157_2016_Spring.X157_BB90",0.378626477059554,0.539010682552901,0.824029885146507,0.264611108616085,3974,"spring"
"09","X157_2017_Spring.X157_BB90",0.183196914221779,0.164965056883752,0.493803592163758,0.170914851300963,14,"spring"
"010","X158_2016_Spring.X158_BB90",0.247930762438636,0.138279844052803,0.925623781780361,0.357159492211585,14355,"spring"
"011","X161_2015_Spring.X161_BB90",0.185125096552679,0.18213795217892,0.925460186146201,0.256741417370909,4069,"spring"
"012","X178_2015_Spring.X178_BB90",0.297480973341285,0.274241071826844,0.92553010698139,0.259071090084038,13449,"spring"
"013","X181_2016_Spring.X181_BB90",0.118346622168492,0.0854102395511492,0.925559799414708,0.220469568126932,3708,"spring"
"014","X19_2013_Spring.X19_BB90",0.268852889241516,0.323959425788233,0.925545432101818,0.285725561578532,4216,"spring"
"015","X192_2015_Spring.X192_BB90",0.18808718435249,0.081309186016723,0.925571867949542,0.333836144614565,1809,"spring"
"016","X200_2015_Spring.X200_BB90",-0.0813794799809115,-0.117566499198318,0.474492582394341,0.16110109979836,133,"spring"
"017","X200_2016_Spring.X200_BB90",0.251641314715815,0.191605878731355,0.925623781780361,0.323349297401708,4339,"spring"
"018","X202_2016_Spring.X202_BB90",0.179116021542928,0.211034231097113,0.922819641824257,0.244677412088902,7096,"spring"
"019","X205_2015_Spring.X205_BB90",0.314818485691159,0.445629797597188,0.925571676382325,0.24867199139411,36204,"spring"
"020","X31_2013_Spring.X31_BB90",0.213823687108287,0.228438214834139,0.732728665595737,0.172647043819755,1071,"spring"
"021","X58_2013_Spring.X58_BB90",0.441863226509848,0.507054966121493,0.878748627609466,0.197994263089539,1970,"spring"
"022","X90_2013_Spring.X90_BB90",0.319480177899923,0.359879203079198,0.740652234921543,0.248828404097245,612,"spring"
