"","ID","RegenWetCTIMean","RegenWetCTITotalCount","RegenWetCTITotalArea","season"
"0","X11_2013_Spring.X11_BB90",0,0,0,"spring"
"01","X13_2013_Spring.X13_BB90",0,0,0,"spring"
"02","X13_2014_Spring.X13_BB90",0,0,0,"spring"
"03","X15_2013_Spring.X15_BB90",0.577416319056354,13,2925,"spring"
"04","X15_2014_Spring.X15_BB90",0.346413892763478,387,87075,"spring"
"05","X151_2014_Spring.X151_BB90",0.304652341437006,212,47700,"spring"
"06","X156_2014_Spring.X156_BB90",0.331162826444828,582,130950,"spring"
"07","X156_2015_Spring.X156_BB90",0.274994691721704,108,24300,"spring"
"08","X157_2016_Spring.X157_BB90",0,0,0,"spring"
"09","X157_2017_Spring.X157_BB90",0,0,0,"spring"
"010","X158_2016_Spring.X158_BB90",0.449797616169864,7952,1789200,"spring"
"011","X161_2015_Spring.X161_BB90",0.337370431081873,5045,1135125,"spring"
"012","X178_2015_Spring.X178_BB90",0.288126034957784,348,78300,"spring"
"013","X181_2016_Spring.X181_BB90",0.49268009568587,2518,566550,"spring"
"014","X19_2013_Spring.X19_BB90",0.319667377912024,10176,2289600,"spring"
"015","X192_2015_Spring.X192_BB90",0.348831448037047,256,57600,"spring"
"016","X200_2015_Spring.X200_BB90",0.390590538358936,335,75375,"spring"
"017","X200_2016_Spring.X200_BB90",0.368945646725884,2505,563625,"spring"
"018","X202_2016_Spring.X202_BB90",0,0,0,"spring"
"019","X205_2015_Spring.X205_BB90",0.342279927411812,1612,362700,"spring"
"020","X31_2013_Spring.X31_BB90",0,0,0,"spring"
"021","X58_2013_Spring.X58_BB90",0,0,0,"spring"
"022","X90_2013_Spring.X90_BB90",0.333413909801129,267,60075,"spring"
