"","summerMooseBB90HR@data$ID","1","2"
"1","X11_2013_Summer.X11_BB90",628191.778688412,5272735.30081159
"2","X13_2013_Summer.X13_BB90",661141.223835621,5298366.72330891
"3","X15_2013_Summer.X15_BB90",628353.644487941,5272663.32596393
"4","X151_2014_Summer.X151_BB90",685448.685278241,5301044.79287057
"5","X156_2014_Summer.X156_BB90",600796.789991545,5251583.03842321
"6","X157_2016_Summer.X157_BB90",654742.221124025,5271916.58035391
"7","X158_2016_Summer.X158_BB90",607510.810883137,5268092.86388423
"8","X161_2015_Summer.X161_BB90",578208.45352999,5296517.36216287
"9","X178_2014_Summer.X178_BB90",658801.720042885,5297374.04617659
"10","X178_2015_Summer.X178_BB90",667693.581746101,5291416.11218286
"11","X181_2015_Summer.X181_BB90",593629.599998469,5263295.74896003
"12","X181_2016_Summer.X181_BB90",598875.091320202,5264003.94121021
"13","X19_2013_Summer.X19_BB90",575693.136580537,5300783.04442193
"14","X192_2015_Summer.X192_BB90",601383.130892894,5252095.56594887
"15","X200_2015_Summer.X200_BB90",601881.677471208,5250291.00437801
"16","X202_2015_Summer.X202_BB90",608543.492486743,5245615.0587461
"17","X205_2015_Summer.X205_BB90",680691.085185441,5287115.90682035
"18","X31_2013_Summer.X31_BB90",691237.997354896,5310866.04297258
"19","X58_2013_Summer.X58_BB90",649096.928347443,5282865.47653807
